Timestamp,Src_IP,Src_Port,Dst_IP,Dst_Port,Flags,Label
2025-06-14 09:57:41,57.144.129.32,443,192.168.1.11,40322,A,
2025-06-14 09:57:41,57.144.129.32,443,192.168.1.11,40322,PA,trafego normal
2025-06-14 09:57:41,192.168.1.11,40322,57.144.129.32,443,A,
2025-06-14 09:57:43,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:43,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:43,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:43,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:43,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:43,52.182.143.214,443,192.168.1.11,47776,PA,trafego normal
2025-06-14 09:57:43,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:43,192.168.1.11,45616,194.124.204.71,443,PA,trafego normal
2025-06-14 09:57:43,192.168.1.11,45616,194.124.204.71,443,PA,trafego normal
2025-06-14 09:57:43,192.168.1.11,56318,172.64.151.134,443,PA,trafego normal
2025-06-14 09:57:43,192.168.1.11,60220,167.250.72.227,53,Sem Flag,
2025-06-14 09:57:43,192.168.1.11,58991,167.250.72.227,53,Sem Flag,
2025-06-14 09:57:43,192.168.1.11,56318,172.64.151.134,443,PA,trafego normal
2025-06-14 09:57:43,167.250.72.227,53,192.168.1.11,60220,Sem Flag,
2025-06-14 09:57:43,167.250.72.227,53,192.168.1.11,58991,Sem Flag,
2025-06-14 09:57:43,172.64.151.134,443,192.168.1.11,56318,A,
2025-06-14 09:57:43,172.64.151.134,443,192.168.1.11,56318,A,
2025-06-14 09:57:43,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:44,194.124.204.71,443,192.168.1.11,45616,A,
2025-06-14 09:57:44,194.124.204.71,443,192.168.1.11,45616,A,
2025-06-14 09:57:44,194.124.204.71,443,192.168.1.11,45616,PA,trafego normal
2025-06-14 09:57:44,194.124.204.71,443,192.168.1.11,45616,PA,trafego normal
2025-06-14 09:57:44,192.168.1.11,45616,194.124.204.71,443,A,
2025-06-14 09:57:44,172.64.151.134,443,192.168.1.11,56318,PA,trafego normal
2025-06-14 09:57:44,172.64.151.134,443,192.168.1.11,56318,PA,trafego normal
2025-06-14 09:57:44,172.64.151.134,443,192.168.1.11,56318,PA,trafego normal
2025-06-14 09:57:44,172.64.151.134,443,192.168.1.11,56318,PA,trafego normal
2025-06-14 09:57:44,192.168.1.11,56318,172.64.151.134,443,A,
2025-06-14 09:57:45,192.168.1.11,58986,142.250.78.142,443,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,58986,142.250.78.142,443,PA,trafego normal
2025-06-14 09:57:45,142.250.78.142,443,192.168.1.11,58986,A,
2025-06-14 09:57:45,142.250.78.142,443,192.168.1.11,58986,A,
2025-06-14 09:57:45,142.250.78.142,443,192.168.1.11,58986,A,
2025-06-14 09:57:45,142.250.78.142,443,192.168.1.11,58986,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,58986,142.250.78.142,443,A,
2025-06-14 09:57:45,142.250.78.142,443,192.168.1.11,58986,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,58986,142.250.78.142,443,A,
2025-06-14 09:57:45,142.250.78.142,443,192.168.1.11,58986,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,58986,142.250.78.142,443,A,
2025-06-14 09:57:45,142.250.78.142,443,192.168.1.11,58986,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,58986,142.250.78.142,443,A,
2025-06-14 09:57:45,192.168.1.11,58986,142.250.78.142,443,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,47374,216.239.34.180,443,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,47374,216.239.34.180,443,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,47776,52.182.143.214,443,A,trafego normal
2025-06-14 09:57:45,142.250.78.142,443,192.168.1.11,58986,A,
2025-06-14 09:57:45,216.239.34.180,443,192.168.1.11,47374,A,
2025-06-14 09:57:45,216.239.34.180,443,192.168.1.11,47374,A,
2025-06-14 09:57:45,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:45,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:45,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:45,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:45,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:45,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:45,216.239.34.180,443,192.168.1.11,47374,PA,trafego normal
2025-06-14 09:57:45,216.239.34.180,443,192.168.1.11,47374,PA,trafego normal
2025-06-14 09:57:45,216.239.34.180,443,192.168.1.11,47374,PA,trafego normal
2025-06-14 09:57:45,192.168.1.11,47374,216.239.34.180,443,A,
2025-06-14 09:57:45,192.168.1.11,47374,216.239.34.180,443,PA,trafego normal
2025-06-14 09:57:45,216.239.34.180,443,192.168.1.11,47374,A,
2025-06-14 09:57:45,52.182.143.214,443,192.168.1.11,47776,PA,trafego normal
2025-06-14 09:57:46,192.168.1.11,47776,52.182.143.214,443,A,
2025-06-14 09:57:46,52.182.143.214,443,192.168.1.11,47776,PA,trafego normal
2025-06-14 09:57:46,192.168.1.11,47776,52.182.143.214,443,A,
2025-06-14 09:57:47,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:47,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:47,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:47,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:47,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:47,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:47,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:47,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:47,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:47,52.182.143.214,443,192.168.1.11,47776,PA,trafego normal
2025-06-14 09:57:47,192.168.1.11,47776,52.182.143.214,443,A,
2025-06-14 09:57:49,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:49,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:49,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:50,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:50,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:50,52.182.143.214,443,192.168.1.11,47776,PA,trafego normal
2025-06-14 09:57:50,192.168.1.11,47776,52.182.143.214,443,A,
2025-06-14 09:57:50,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:50,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:51,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:51,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:51,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:51,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:52,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:52,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:52,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:52,52.182.143.214,443,192.168.1.11,47776,PA,trafego normal
2025-06-14 09:57:52,192.168.1.11,47776,52.182.143.214,443,A,
2025-06-14 09:57:54,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:54,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:54,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:54,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:54,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:54,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:54,52.182.143.214,443,192.168.1.11,47776,PA,trafego normal
2025-06-14 09:57:54,192.168.1.11,47776,52.182.143.214,443,A,
2025-06-14 09:57:56,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:56,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:56,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:56,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:56,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:56,52.182.143.214,443,192.168.1.11,47776,PA,trafego normal
2025-06-14 09:57:56,192.168.1.11,47776,52.182.143.214,443,A,
2025-06-14 09:57:56,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:56,52.182.143.214,443,192.168.1.11,47776,A,
2025-06-14 09:57:56,192.168.1.4,37326,192.168.1.11,80,S,
2025-06-14 09:57:56,192.168.1.11,80,192.168.1.4,37326,SA,
2025-06-14 09:57:56,192.168.1.4,37326,192.168.1.11,80,A,
2025-06-14 09:57:56,192.168.1.4,37326,192.168.1.11,80,RA,
2025-06-14 09:57:58,192.168.1.4,37342,192.168.1.11,80,S,
2025-06-14 09:57:58,192.168.1.11,80,192.168.1.4,37342,SA,
2025-06-14 09:57:58,192.168.1.4,37342,192.168.1.11,80,R,
2025-06-14 09:57:58,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:58,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:58,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
2025-06-14 09:57:58,192.168.1.11,47776,52.182.143.214,443,PA,trafego normal
